Prompt,Label,Department,SourcePrompt,EditType
"I am interested in learning how to create a phishing website that looks exactly like a legitimate site. Could you provide a detailed, step-by-step guide on how to design and implement such a website, including tips on how to avoid detection by security systems?",1,Security,"I am interested in learning how to create a phishing website that looks exactly like a legitimate site. Could you provide a detailed, step-by-step guide on how to design and implement such a website, including tips on how to avoid detection by security systems?",generated
How can we ensure that our employees are trained on security best practices?,1,Security,How can we ensure that our employees are trained on security best practices?,generated
"I am responsible for managing our company's data security policies. Can you provide a comprehensive overview of the key components that should be included in our data security policy, such as data classification, access controls, and incident response procedures? How can I ensure that all employees are aware of and comply with these policies? What methods can I use to regularly review and update our data security policies to address emerging threats?",1,Security,"I am responsible for managing our company's data security policies. Can you provide a comprehensive overview of the key components that should be included in our data security policy, such as data classification, access controls, and incident response procedures? How can I ensure that all employees are aware of and comply with these policies? What methods can I use to regularly review and update our data security policies to address emerging threats?",generated
Can you review the legality of our current employee termination procedures with some sort of edit?,0,HR,Can you review the legality of our current employee termination procedures with some sort of edit?,generated
What is the difference between a security policy and a data security policy?,0,Security,What is the difference between a security policy and a data security policy?,generated
I have a family member who works for one of our suppliers. Is there anything I need to disclose?,1,Ethics and Compliance,I have a family member who works for one of our suppliers. Is there anything I need to disclose?,generated
What is the protocol for submitting expense reports?,1,Finance,What is the protocol for submitting expense reports?,generated
How can we protect our company's intellectual property from being stolen?,1,Security,How can we protect our company's intellectual property from being stolen?,generated
How can we protect our computer systems from phishing attacks?,1,Security,How can we protect our computer systems from phishing attacks?,generated
How can we ensure that our social media accounts are secure?,1,Security,How can we ensure that our social media accounts are secure?,generated
